created_at,favorite_count,favorited,geo,hashtags,posicion,retweet_count,retweeted,source,text,user_location,user_name
Mon Dec 10 23:13:17 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Mar del Plata,Patricia Soprano
Mon Dec 10 23:11:58 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,sara uribe cruz
Mon Dec 10 23:10:13 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Argentina,Vale
Mon Dec 10 23:10:09 +0000 2018,0,False,,[],no,2,False,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","""Grupos de mujeres feministas se congregaron a las afueras del Palacio Legislativo de Venezuela para rechazar propu… https://t.co/tlU2UKcI2o","Isla de Margarita, Venezuela",Verdad y Vida
Mon Dec 10 23:07:31 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Nino Rodi
Mon Dec 10 23:06:27 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,el profesor chiflado
Mon Dec 10 23:05:37 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Chile,DAGG LEX
Mon Dec 10 23:03:48 +0000 2018,0,False,,"['Olmedo2019', 'País', 'AhoraPatria']",no,2,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @gasparini_tania: @olmedopresident
#Olmedo2019 
Alfredo Olmedo Reunión Organizativa..Nos extendemos por todo el #País #AhoraPatria
#NoAl…",,Diana graciela
Mon Dec 10 23:01:03 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,ariluszy
Mon Dec 10 23:00:56 +0000 2018,1,False,,"['HumanRightsDay2018', 'NoAlAborto', 'SalvemosLas2Vidas', 'ProVida']",no,1,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#HumanRightsDay2018 btw el derecho inherente a la vida es el principal derecho humano
#NoAlAborto #SalvemosLas2Vidas #ProVida",La cd peor planeada del mundo,shekayna
Mon Dec 10 22:59:42 +0000 2018,0,False,,"['NWO', 'NoalaIdeologiadeGenero', 'NoAlAborto', '2019VotoVida']",no,2,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @MonicaElenaCab5: @BalleriniVIDA 👏
#NWO 
#NoalaIdeologiadeGenero 
#NoAlAborto 
#2019VotoVida",El centro del sistema solar ☀️,Sol Invictus
Mon Dec 10 22:59:33 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Gabriela
Mon Dec 10 22:59:24 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",cumpleaños 8 de mayo,silvina aguirre
Mon Dec 10 22:57:07 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Paraguay,Pysincomunismonisocialismo®
Mon Dec 10 22:57:01 +0000 2018,3,False,,['noalaborto'],no,1,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",@ONU_es @antonioguterres Y no se olviden de los Derechos de los niños no nacidos....#noalaborto,,Silvana M. Pérez Gómez 🌿🌸
Mon Dec 10 22:54:47 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…","Salta, Argentina",Marcelo Vera
Mon Dec 10 22:54:44 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…","San Rafael, Argentina",Mariana Sosa
Mon Dec 10 22:53:50 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Ciudad Autónoma de Buenos Aire,Lili GonzalezBellini
Mon Dec 10 22:51:22 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Argentina,Victoria Villarruel
Mon Dec 10 22:47:51 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…","San Luis Potosí, México",David Cruz
Mon Dec 10 22:46:45 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Bnfield,NORMA BOSCO 🌍💙
Mon Dec 10 22:44:38 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…","Salta, Argentina",Bruno Lopez
Mon Dec 10 22:43:40 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,María
Mon Dec 10 22:39:38 +0000 2018,1,False,,"['SalvemosLas2Vidas', 'NoAlAborto', 'AbortoEsMatar']",no,0,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","@Lucasgbass93 @BeluLombardiii Te referís a este #SalvemosLas2Vidas ?
Nah, no me pagan

#NoAlAborto
#AbortoEsMatar",,💙 Pablito Ro 💙
Mon Dec 10 22:36:30 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Daniela Lifrieri
Mon Dec 10 22:35:26 +0000 2018,3,False,,"['DiaDeLosDerechosHumanos', 'ConcordiaPideJusticia', 'ProtocoloDeLaMuerte', 'NoAlAborto']",no,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#DiaDeLosDerechosHumanos #ConcordiaPideJusticia
#ProtocoloDeLaMuerte 
#NoAlAborto https://t.co/pJqTD4KsP7","Concordia, Argentina",Nancy Casco
